Starting BFS (two pass, full exploration) on 16 x 16 maze
Step: 71 | Position: (1,8) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 63
Step: 72 | Position: (2,8) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 64
Step: 73 | Position: (3,8) | Action: FORWARD | Unique cells visited: 65
Step: 74 | Position: (4,8) | Action: FORWARD | Unique cells visited: 66
Step: 75 | Position: (5,8) | Action: FORWARD | Unique cells visited: 67
Step: 76 | Position: (5,9) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 68
Step: 77 | Position: (5,10) | Action: FORWARD | Unique cells visited: 69
Step: 78 | Position: (5,11) | Action: FORWARD | Unique cells visited: 70
Step: 79 | Position: (5,12) | Action: FORWARD | Unique cells visited: 71
Step: 80 | Position: (6,12) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 72
Step: 81 | Position: (7,12) | Action: FORWARD | Unique cells visited: 73
Step: 82 | Position: (8,12) | Action: FORWARD | Unique cells visited: 74
Step: 83 | Position: (8,13) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 75
Step: 84 | Position: (7,13) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 76
Step: 85 | Position: (6,13) | Action: FORWARD | Unique cells visited: 77
Step: 86 | Position: (5,13) | Action: FORWARD | Unique cells visited: 78
Step: 87 | Position: (6,13) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 78
Step: 88 | Position: (7,13) | Action: FORWARD | Unique cells visited: 78
Step: 89 | Position: (8,13) | Action: FORWARD | Unique cells visited: 78
Step: 90 | Position: (8,12) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 78
Step: 91 | Position: (9,12) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 79
Step: 92 | Position: (9,13) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 80
Step: 93 | Position: (10,13) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 81
Step: 94 | Position: (11,13) | Action: FORWARD | Unique cells visited: 82
Step: 95 | Position: (12,13) | Action: FORWARD | Unique cells visited: 83
Step: 96 | Position: (13,13) | Action: FORWARD | Unique cells visited: 84
Step: 97 | Position: (14,13) | Action: FORWARD | Unique cells visited: 85
Step: 98 | Position: (14,12) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 86
Step: 99 | Position: (14,11) | Action: FORWARD | Unique cells visited: 87
Step: 100 | Position: (14,10) | Action: FORWARD | Unique cells visited: 88
Step: 101 | Position: (14,9) | Action: FORWARD | Unique cells visited: 89
Step: 102 | Position: (14,8) | Action: FORWARD | Unique cells visited: 90
Step: 103 | Position: (14,9) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 90
Step: 104 | Position: (14,10) | Action: FORWARD | Unique cells visited: 90
Step: 105 | Position: (14,11) | Action: FORWARD | Unique cells visited: 90
Step: 106 | Position: (14,12) | Action: FORWARD | Unique cells visited: 90
Step: 107 | Position: (13,12) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 91
Step: 108 | Position: (12,12) | Action: FORWARD | Unique cells visited: 92
Step: 109 | Position: (11,12) | Action: FORWARD | Unique cells visited: 93
Step: 110 | Position: (10,12) | Action: FORWARD | Unique cells visited: 94
Step: 111 | Position: (10,11) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 95
Step: 112 | Position: (11,11) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 96
Step: 113 | Position: (12,11) | Action: FORWARD | Unique cells visited: 97
Step: 114 | Position: (13,11) | Action: FORWARD | Unique cells visited: 98
Step: 115 | Position: (13,10) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 99
Step: 116 | Position: (12,10) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 100
Step: 117 | Position: (11,10) | Action: FORWARD | Unique cells visited: 101
Step: 118 | Position: (10,10) | Action: FORWARD | Unique cells visited: 102
