Starting BFS (two pass, full exploration) on 16 x 16 maze
Step: 72 | Position: (4,14) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 73
Step: 73 | Position: (5,14) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 73
Step: 74 | Position: (6,14) | Action: FORWARD | Unique cells visited: 73
Step: 75 | Position: (6,13) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 73
Step: 76 | Position: (7,13) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 74
Step: 77 | Position: (7,12) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 75
Step: 78 | Position: (8,12) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 76
Step: 79 | Position: (8,13) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 77
Step: 80 | Position: (8,14) | Action: FORWARD | Unique cells visited: 78
Step: 81 | Position: (9,14) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 79
Step: 82 | Position: (9,13) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 80
Step: 83 | Position: (9,12) | Action: FORWARD | Unique cells visited: 81
Step: 84 | Position: (9,11) | Action: FORWARD | Unique cells visited: 82
Step: 85 | Position: (10,11) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 83
Step: 86 | Position: (10,12) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 84
Step: 87 | Position: (10,13) | Action: FORWARD | Unique cells visited: 85
Step: 88 | Position: (10,14) | Action: FORWARD | Unique cells visited: 86
Step: 89 | Position: (10,15) | Action: FORWARD | Unique cells visited: 87
Step: 90 | Position: (9,15) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 88
Step: 91 | Position: (8,15) | Action: FORWARD | Unique cells visited: 89
Step: 92 | Position: (7,15) | Action: FORWARD | Unique cells visited: 90
Step: 93 | Position: (7,14) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 91
Step: 94 | Position: (7,15) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 91
Step: 95 | Position: (6,15) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 92
Step: 96 | Position: (5,15) | Action: FORWARD | Unique cells visited: 93
Step: 97 | Position: (4,15) | Action: FORWARD | Unique cells visited: 94
Step: 98 | Position: (3,15) | Action: FORWARD | Unique cells visited: 95
Step: 99 | Position: (2,15) | Action: FORWARD | Unique cells visited: 96
Step: 100 | Position: (1,15) | Action: FORWARD | Unique cells visited: 97
Step: 101 | Position: (1,14) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 98
Step: 102 | Position: (1,13) | Action: FORWARD | Unique cells visited: 99
Step: 103 | Position: (1,12) | Action: FORWARD | Unique cells visited: 100
Step: 104 | Position: (1,11) | Action: FORWARD | Unique cells visited: 101
Step: 105 | Position: (2,11) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 102
Step: 106 | Position: (1,11) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 102
Step: 107 | Position: (0,11) | Action: FORWARD | Unique cells visited: 103
Step: 108 | Position: (0,12) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 104
Step: 109 | Position: (0,13) | Action: FORWARD | Unique cells visited: 105
Step: 110 | Position: (0,14) | Action: FORWARD | Unique cells visited: 106
Step: 111 | Position: (0,15) | Action: FORWARD | Unique cells visited: 107
Step: 112 | Position: (0,14) | Action: TURN_AROUND_AND_FORWARD | Unique cells visited: 107
Step: 113 | Position: (0,13) | Action: FORWARD | Unique cells visited: 107
Step: 114 | Position: (0,12) | Action: FORWARD | Unique cells visited: 107
Step: 115 | Position: (0,11) | Action: FORWARD | Unique cells visited: 107
Step: 116 | Position: (0,10) | Action: FORWARD | Unique cells visited: 108
Step: 117 | Position: (1,10) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 109
Step: 118 | Position: (2,10) | Action: FORWARD | Unique cells visited: 110
Step: 119 | Position: (2,9) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 111
Step: 120 | Position: (1,9) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 112
Step: 121 | Position: (0,9) | Action: FORWARD | Unique cells visited: 113
Step: 122 | Position: (0,8) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 114
Step: 123 | Position: (0,7) | Action: FORWARD | Unique cells visited: 115
Step: 124 | Position: (0,6) | Action: FORWARD | Unique cells visited: 116
Step: 125 | Position: (0,5) | Action: FORWARD | Unique cells visited: 117
Step: 126 | Position: (0,4) | Action: FORWARD | Unique cells visited: 118
Step: 127 | Position: (1,4) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 119
Step: 128 | Position: (1,5) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 120
Step: 129 | Position: (1,6) | Action: FORWARD | Unique cells visited: 121
Step: 130 | Position: (1,7) | Action: FORWARD | Unique cells visited: 122
Step: 131 | Position: (1,8) | Action: FORWARD | Unique cells visited: 123
Step: 132 | Position: (2,8) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 124
Step: 133 | Position: (2,7) | Action: TURN_RIGHT_AND_FORWARD | Unique cells visited: 125
Step: 134 | Position: (3,7) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 126
Step: 135 | Position: (3,8) | Action: TURN_LEFT_AND_FORWARD | Unique cells visited: 127
